timeframe,indicator,zone,comparison,min_value,max_value
1D2Min,smacd,neutral,>=,0.11,
1D2Min,smacd,neg,<,0.0,
1D2Min,smacd,bear,<,-0.17,
1D2Min,smacd,fear,<,-0.33,
1D2Min,smacd,panic,<,-0.33,
1D2Min,bars,Hurricane,>=,0.47,
1D2Min,bars,Storm,>=,0.33,
1D2Min,bars,StrongWind,>=,0.22,
1D2Min,bars,Windy,>=,0.17,
1D2Min,bars,Neutral,>=,0.11,
1D1Min,fmacd,igr,>=,0.47,
1D1Min,fmacd,greed,>=,0.33,
1D1Min,fmacd,bull,>=,0.33,
1D1Min,fmacd,pos,>=,0.22,
1D1Min,fmacd,neutral,>=,0.17,
1D1Min,fmacd,neg,<,0.0,
1D1Min,fmacd,bear,<,-0.74,
1D1Min,fmacd,fear,<,-1.47,
1D1Min,fmacd,panic,<,-0.17,
1D1Min,smacd,igr,>=,0.33,
1D1Min,smacd,greed,>=,0.22,
1D1Min,smacd,bull,>=,0.17,
1D1Min,smacd,pos,>=,0.11,
1D1Min,smacd,neutral,>=,0.07,
1D1Min,smacd,neg,<,0.0,
1D1Min,smacd,bear,<,-0.11,
1D1Min,smacd,fear,<,-0.22,
1D1Min,smacd,panic,<,-0.22,
1D1Min,bars,Hurricane,>=,0.37,
1D1Min,bars,Storm,>=,0.33,
1D1Min,bars,StrongWind,>=,0.22,
1D1Min,bars,Windy,>=,0.11,
1D1Min,bars,Neutral,>=,0.07,
